Slice	X	Y	AREA
0	0	0	NP
1	67	72	160
2	67	71	149
3	66	68	136
4	66	68	138
5	66	68	153
6	66	68	148
7	66	68	145
8	67	68	123
9	67	68	118
10	67	68	124
11	67	67	105
12	67	54	73
12	66	64	58	f
13	69	51	126
14	68	52	101
15	69	52	124
16	69	49	143
17	67	46	162
18	67	42	141
19	65	37	136
20	64	32	139
21	66	30	168
22	64	29	162
23	62	25	164
24	60	20	171
25	61	21	152
26	62	23	144
27	62	24	146
28	63	24	125
29	63	21	149
30	63	19	137
31	67	17	155
32	70	14	159
33	72	16	148
34	76	14	158
35	77	15	160
36	74	14	130
37	77	14	156
38	78	14	159
39	81	15	163
40	89	17	109
40	79	15	36	f
41	89	18	114
41	79	15	30	f
42	88	17	105
42	79	14	37	f
43	89	18	144
44	89	17	122
45	90	16	135
46	96	14	149
47	96	14	149
48	99	13	148
49	104	14	141
50	110	13	117
51	111	12	127
52	112	13	136
53	112	13	134
54	112	13	132
55	113	13	140
56	113	13	144
57	108	13	38
58	99	21	43
58	103	11	32	f
59	94	13	120
60	92	14	130
61	91	15	150
62	91	16	138
63	91	16	135
64	91	14	131
65	91	14	138
66	92	15	146
67	91	17	160
68	92	19	146
69	96	21	119
70	96	21	NP
71	117	27	30
72	120	32	38
73	119	35	81
74	120	37	127
75	120	46	165
76	118	54	171
77	115	70	172
78	114	82	169
79	116	85	161
80	118	88	161
81	118	87	160
82	117	86	157
83	118	87	165
84	117	86	147
85	114	85	161
86	108	88	175
87	103	90	126
88	92	90	158
89	82	89	151
90	76	90	156
91	75	90	163
92	69	91	173
93	65	87	169
94	64	87	152
95	66	86	148
96	65	82	158
97	65	75	170
98	65	73	165
99	67	71	160
100	67	71	151
101	67	71	153
102	67	71	157
103	67	70	159
104	67	70	158
105	68	69	138
106	67	68	133
107	67	68	131
108	67	68	130
109	67	68	128
110	67	68	129
111	67	68	142
112	67	68	137
113	67	68	126
114	67	68	126
115	67	68	135
116	67	67	112
117	67	67	113
118	66	67	139
119	66	67	145
120	66	67	143
121	66	67	137
122	67	67	118
123	67	66	93
124	67	65	86
125	67	65	81
125	70	57	38	f
126	67	64	73
126	70	57	47	f
127	67	64	76
127	70	57	39	f
128	70	56	69
128	68	63	45	f
129	70	54	96
130	68	44	142
131	66	34	155
132	65	29	164
133	62	25	161
134	59	21	156
135	56	18	118
136	56	18	112
137	55	18	114
138	56	19	110
139	52	17	148
140	43	17	149
141	32	15	161
142	25	14	185
143	21	14	183
144	21	14	182
145	21	14	190
146	22	14	180
147	20	13	190
148	22	13	181
149	27	14	150
150	28	14	146
151	26	16	173
152	21	21	170
153	18	25	153
154	17	29	170
155	16	35	140
156	17	43	157
157	20	49	161
158	21	57	155
159	22	73	166
160	22	82	163
161	24	85	153
162	24	86	138
163	29	89	117
164	30	90	88
164	41	91	54	f
165	42	90	73
165	33	92	53	f
166	43	88	118
167	51	85	161
168	55	84	169
169	59	84	148
170	65	87	177
171	69	88	187
172	77	91	174
173	82	91	153
174	84	90	157
175	85	89	160
176	85	89	159
177	85	89	139
178	85	90	135
179	86	89	141
180	88	88	134
181	87	90	146
182	83	92	149
183	82	93	142
184	81	93	138
185	82	93	140
186	82	93	150
187	79	93	175
188	73	93	178
189	67	92	163
190	63	92	159
191	55	93	172
192	51	93	158
193	51	93	163
194	52	92	158
195	51	92	154
196	51	93	163
197	52	92	158
198	48	89	161
199	46	87	145
200	46	87	147
201	45	87	154
202	46	88	139
203	46	88	137
204	46	88	140
205	46	88	139
206	46	88	152
207	46	88	141
208	47	88	149
209	47	88	148
210	47	89	154
211	48	89	159
212	50	88	159
