Slice	X	Y	AREA
0	0	0	NP
1	67	70	160
2	67	70	159
3	67	71	146
4	67	70	148
5	67	70	157
6	67	70	153
7	66	71	132
8	66	71	135
9	66	72	157
10	68	69	145
11	68	68	131
12	69	68	123
13	69	68	132
14	69	67	114
15	67	54	82
15	70	64	58	f
16	68	51	121
17	68	43	143
18	68	41	139
19	71	35	156
20	70	37	159
21	67	34	147
22	65	29	180
23	65	29	169
24	68	32	120
25	66	30	162
26	64	27	173
27	63	26	171
28	63	27	165
29	67	30	131
30	72	26	169
31	72	25	151
32	77	21	159
33	81	22	158
34	79	20	148
35	77	19	147
36	77	18	146
37	73	18	151
38	70	18	161
39	67	18	175
40	68	17	164
41	67	17	189
42	68	19	153
43	72	22	153
44	75	22	149
45	80	19	156
46	85	21	150
47	89	22	154
48	94	21	179
49	100	21	177
50	104	22	174
51	105	23	165
52	107	23	177
53	102	21	163
54	105	22	170
55	108	23	139
56	112	25	149
57	113	25	162
58	117	29	146
59	118	32	147
60	119	43	170
61	119	53	169
62	117	65	159
63	116	72	173
64	117	78	155
65	120	85	168
66	119	83	137
67	118	84	146
68	117	82	154
69	111	84	168
70	104	86	136
71	102	86	114
72	101	86	105
73	89	86	63
73	99	86	56	f
74	88	84	82
74	98	86	45	f
75	89	83	55
75	99	87	49	f
76	89	84	57
76	99	87	48	f
77	89	85	61
77	98	87	42	f
78	87	89	112
79	85	90	127
80	85	89	132
81	82	91	141
82	81	91	148
83	74	88	167
84	66	79	158
85	66	73	140
86	65	73	136
87	67	70	174
88	68	70	175
89	67	71	148
90	67	73	151
91	67	73	163
92	67	73	163
93	68	71	155
94	67	71	149
95	68	70	150
96	69	67	109
96	69	56	36	f
97	69	65	87
97	69	56	42	f
98	69	66	96
98	69	56	43	f
99	69	65	87
99	69	56	42	f
100	69	65	91
100	69	56	37	f
101	68	64	67
101	70	55	48	f
102	70	54	68
102	69	63	45	f
103	71	52	100
104	71	47	115
105	67	36	135
106	66	30	130
107	61	23	154
108	59	18	147
109	58	20	143
110	58	20	154
111	51	20	171
112	44	19	142
113	42	19	163
114	42	18	173
115	42	18	177
116	41	21	143
117	38	21	104
118	39	21	104
119	38	21	75
120	35	23	36
121	35	23	NP
122	35	23	NP
123	35	23	NP
124	35	23	NP
125	35	23	NP
126	22	36	58
127	21	40	128
128	19	44	156
129	18	51	164
130	16	55	174
131	15	57	160
132	15	58	169
133	15	65	161
134	19	70	159
135	20	73	157
136	25	83	162
137	26	86	137
138	28	88	96
139	29	89	82
140	30	89	67
140	40	92	32	f
141	29	90	53
141	41	89	49	f
142	41	90	64
142	33	91	32	f
143	43	90	74
144	46	87	155
145	51	84	159
146	54	83	158
147	54	84	157
148	54	84	161
149	53	84	150
150	54	84	145
151	58	83	154
152	66	81	158
153	68	81	152
154	68	81	142
155	69	81	159
156	78	85	167
157	82	89	149
158	82	89	158
159	82	89	155
160	82	88	154
161	82	88	158
162	81	89	138
163	81	88	146
164	81	88	141
165	81	87	144
166	82	88	160
167	83	88	155
168	83	88	150
169	82	89	156
170	82	89	155
171	82	89	156
172	81	88	131
173	84	87	141
174	86	88	146
175	86	87	144
176	86	87	142
177	86	86	153
178	85	86	154
179	85	87	141
180	84	88	143
181	84	87	144
182	84	88	138
183	84	87	150
184	81	87	148
185	78	83	155
186	74	81	167
187	66	81	156
188	58	82	160
189	52	83	153
190	50	86	162
191	50	86	165
192	51	85	140
193	51	84	150
194	50	84	153
195	50	84	152
196	50	84	145
197	49	86	147
198	49	87	133
199	50	84	143
200	52	83	129
201	51	83	147
202	51	83	140
203	54	82	164
204	57	82	154
205	61	80	154
206	66	77	162
207	68	74	172
208	68	76	151
209	68	77	148
210	68	77	135
211	68	77	146
212	69	79	164
213	69	79	165
214	69	78	163
215	69	78	167
216	69	78	162
217	69	78	168
218	69	78	164
219	69	78	164
220	68	78	145
221	68	77	147
222	67	78	148
223	65	76	151
224	67	70	136
225	66	67	95
226	66	49	107
227	65	39	112
228	65	27	142
229	68	23	148
230	73	17	189
231	73	17	184
232	74	17	172
233	73	17	161
234	73	18	161
235	71	20	155
236	70	21	157
237	67	21	158
238	62	18	161
239	60	18	158
240	60	18	162
241	60	18	163
242	61	18	158
243	60	18	162
244	59	18	150
245	58	18	164
246	55	16	167
247	51	15	156
248	47	18	164
249	39	20	96
250	39	20	NP
251	39	20	NP
252	39	20	NP
253	39	20	NP
254	39	20	NP
255	20	35	46
256	19	36	83
257	18	37	97
258	17	39	141
259	15	42	163
260	14	48	153
261	13	49	155
262	14	50	160
263	17	57	148
264	20	67	151
265	22	79	153
266	24	84	150
267	25	87	143
268	24	86	136
269	24	87	126
270	23	88	142
271	19	90	153
272	18	90	153
273	17	91	153
274	17	91	153
275	17	90	145
276	17	91	152
277	17	91	159
278	17	91	157
279	18	90	130
280	17	91	143
281	16	92	155
282	16	91	150
283	18	89	133
284	18	88	140
285	18	88	150
286	16	82	150
287	16	81	153
288	18	81	137
289	18	82	134
290	18	81	141
291	19	80	162
292	18	81	157
293	19	75	152
294	17	65	162
295	14	46	159
296	13	45	165
297	13	44	163
298	14	45	154
299	14	48	139
300	14	47	143
301	14	45	154
302	14	44	158
303	17	42	164
304	17	43	163
305	16	44	160
306	15	43	172
307	15	45	159
308	14	44	158
309	14	46	142
310	16	44	160
311	17	41	158
312	17	41	148
313	17	41	151
314	17	42	139
315	19	43	137
316	18	42	129
317	18	45	156
318	19	48	150
319	19	52	160
320	18	54	179
321	17	59	178
322	17	59	162
323	17	59	161
324	17	59	156
325	17	57	150
326	17	57	152
327	19	57	140
328	21	64	160
329	23	73	156
330	24	82	157
331	26	85	127
332	29	88	79
333	42	89	61
333	31	88	54	f
334	45	88	130
335	48	88	162
336	59	83	156
337	67	79	160
338	68	79	158
339	67	79	164
340	67	77	160
341	71	72	168
342	70	72	162
343	70	71	170
344	69	70	148
345	68	69	163
346	69	70	136
347	69	70	134
348	68	69	133
349	68	67	111
350	68	67	98
351	68	67	101
352	68	67	100
353	68	67	99
354	68	67	100
355	68	67	97
356	68	67	99
357	68	67	100
358	68	67	99
359	68	67	99
360	68	66	91
361	68	66	90
362	67	66	110
363	67	66	117
364	68	67	97
365	68	67	97
366	68	67	98
367	68	67	99
368	68	67	100
369	68	67	101
370	68	67	105
371	68	66	102
372	68	66	102
373	68	66	103
374	67	66	114
375	68	66	119
376	67	67	112
377	68	67	108
378	68	67	104
379	67	67	101
380	68	67	108
381	68	67	112
382	68	67	114
383	68	67	110
384	68	67	120
385	68	67	120
386	68	68	118
387	67	68	115
388	67	67	118
389	67	67	116
390	68	67	109
391	68	67	111
392	68	67	110
393	68	67	111
394	68	66	100
395	68	67	108
396	68	67	104
397	68	67	105
398	68	67	104
399	68	67	104
400	68	67	106
401	67	65	119
402	67	66	122
403	67	66	128
404	68	66	104
405	68	66	97
406	68	66	92
407	68	66	92
408	68	66	91
409	68	66	94
410	68	66	95
411	68	66	96
412	68	66	94
413	68	66	93
414	68	66	103
415	68	66	99
416	68	66	96
417	68	66	97
418	68	66	102
419	68	66	95
420	68	66	99
421	68	66	95
422	68	66	95
423	68	66	95
424	68	66	94
425	68	66	93
426	68	66	93
426	69	57	32	f
427	68	65	91
427	69	56	34	f
428	68	66	95
428	68	56	33	f
429	68	66	95
429	68	56	34	f
430	68	66	95
430	68	56	37	f
431	68	66	94
431	68	56	36	f
432	68	66	94
432	68	56	34	f
433	68	66	95
433	68	56	37	f
434	68	65	86
434	68	55	53	f
435	67	54	85
435	68	64	56	f
436	67	53	105
437	67	53	101
438	67	50	127
439	67	51	120
440	67	50	107
441	67	49	100
442	64	35	129
443	62	26	137
444	61	20	139
445	57	18	141
446	57	16	133
447	53	16	153
448	51	16	153
449	49	17	157
450	43	19	143
451	40	21	112
452	38	21	79
453	37	21	67
454	37	21	67
455	36	22	57
456	19	22	59
456	36	23	33	f
457	19	21	59
457	35	23	43	f
458	35	23	43
458	21	22	42	f
459	35	23	NP
460	14	24	65
461	15	23	70
462	16	22	97
