Slice	X	Y	AREA
0	0	0	NP
1	74	87	188
2	74	87	176
3	81	89	182
4	80	86	193
5	77	85	161
6	77	85	176
7	77	86	159
8	75	88	155
9	70	83	173
10	68	78	175
11	68	79	144
12	68	81	156
13	65	83	180
14	55	88	183
15	54	89	192
16	57	89	168
17	57	87	155
18	54	88	183
19	50	88	151
20	49	89	151
21	47	90	137
22	53	90	159
23	55	90	169
24	60	88	165
25	63	83	177
26	68	78	188
27	70	71	168
28	71	68	140
28	69	57	32	f
29	68	52	124
30	66	47	150
31	66	39	151
32	66	33	167
33	67	26	176
34	66	21	150
35	67	19	167
36	72	16	165
37	73	16	157
38	72	16	123
39	73	17	144
40	73	16	127
41	73	16	146
42	74	16	144
43	72	16	141
44	74	15	124
44	86	16	40	f
45	87	15	183
46	99	17	175
47	107	18	178
48	114	20	184
49	116	21	173
50	115	19	152
51	115	18	161
52	115	18	166
53	116	17	170
54	117	17	172
55	118	17	181
56	113	17	166
57	111	17	161
58	111	19	174
59	111	18	176
60	108	16	167
61	105	16	179
62	99	18	180
63	93	15	167
64	93	14	159
65	94	17	155
66	93	18	159
67	90	17	154
68	90	19	141
69	89	21	129
70	89	20	121
71	89	18	132
72	96	19	190
73	100	21	171
74	101	20	168
75	109	16	171
76	113	15	169
77	111	15	162
78	105	17	154
79	102	16	162
80	98	17	191
81	96	16	194
82	100	19	151
83	104	17	162
84	105	15	159
85	105	14	138
86	105	12	125
87	100	18	152
88	103	17	187
89	109	15	184
90	114	14	168
91	116	15	172
92	117	14	171
93	117	15	180
94	113	14	183
95	111	17	173
96	112	22	158
97	114	31	184
98	116	44	182
99	116	55	183
100	115	69	184
101	114	78	187
102	113	85	170
103	111	87	180
104	106	90	176
105	104	90	146
106	98	90	159
107	89	89	165
108	79	87	180
109	69	81	186
110	69	78	183
111	69	74	197
112	68	74	176
113	69	79	174
114	66	80	191
115	51	86	178
116	51	87	194
117	55	87	180
118	61	91	159
119	63	91	167
120	74	91	165
121	79	89	185
122	83	88	160
123	83	87	171
124	86	86	154
125	87	83	119
126	85	84	136
127	83	84	125
128	78	84	198
129	70	80	176
130	67	78	175
131	65	70	164
132	67	60	165
133	69	45	175
134	70	37	177
135	71	25	183
136	75	18	168
137	79	18	184
138	88	15	182
139	102	15	192
140	113	16	191
141	116	15	184
142	115	15	177
143	115	15	184
144	116	15	184
145	110	17	172
146	111	21	166
147	112	23	160
148	113	23	147
149	111	21	152
150	111	19	141
151	105	20	173
152	95	20	168
153	93	19	144
154	91	20	135
155	91	20	158
156	92	19	141
157	95	21	156
158	93	18	148
159	93	17	171
160	104	20	178
161	113	21	178
162	117	24	149
163	116	23	148
164	116	20	164
165	119	17	160
166	122	16	155
167	120	15	154
168	121	13	131
169	121	14	133
170	117	19	153
171	108	14	184
172	94	14	152
173	96	15	156
174	93	18	166
175	93	19	132
176	90	19	100
177	91	19	112
178	90	21	125
179	91	21	126
180	94	19	133
181	92	17	172
182	90	16	158
183	93	15	154
184	93	15	153
185	93	15	152
186	93	15	154
187	93	15	149
188	94	14	158
189	94	16	158
190	91	19	184
191	91	19	165
192	94	18	164
193	106	13	182
194	116	13	164
195	118	14	172
196	118	13	174
197	117	13	174
198	112	14	172
199	112	19	166
200	114	25	163
201	115	32	178
202	115	57	178
203	114	74	181
204	113	84	179
205	117	87	173
206	118	88	184
207	118	89	178
208	118	89	176
209	117	88	174
210	117	87	163
211	114	86	160
212	108	90	165
213	103	91	141
214	94	92	168
215	87	91	154
216	63	90	170
217	52	89	172
218	52	88	173
219	51	86	161
220	50	84	118
221	50	82	108
222	49	83	115
223	48	82	125
224	48	83	126
225	53	88	132
226	55	87	175
227	68	83	171
228	73	83	184
229	78	86	192
230	85	90	181
231	82	88	166
232	84	86	188
233	85	85	181
234	85	86	152
235	85	89	170
236	83	88	145
237	82	87	159
238	81	87	165
239	80	86	164
240	71	89	176
241	68	91	166
242	68	90	144
243	64	88	182
244	54	86	169
245	52	88	187
246	52	89	185
247	50	90	153
248	47	91	129
249	49	90	135
250	55	89	165
251	59	85	175
252	66	79	178
253	70	72	179
254	72	67	127
254	71	56	40	f
255	72	51	137
255	71	63	32	f
256	71	45	178
257	72	25	170
258	72	20	168
259	67	16	183
260	63	15	180
261	60	14	162
262	48	17	130
263	40	17	90
264	21	16	70
265	18	17	140
266	24	15	71
267	25	15	37
268	25	14	59
269	26	12	59
270	26	13	37
270	36	23	31	f
271	38	21	47
271	28	12	30	f
272	41	19	109
273	42	16	125
274	40	18	116
275	42	19	130
276	44	19	114
277	44	20	123
278	43	19	122
279	42	18	125
280	41	15	129
281	37	21	81
282	37	21	NP
283	15	32	54
284	15	38	160
285	14	51	179
286	14	63	179
287	13	76	190
288	14	84	189
289	17	83	175
290	26	89	145
291	27	89	130
292	28	87	145
293	28	86	141
294	29	87	110
294	41	85	35	f
295	44	85	167
296	58	83	189
297	69	83	174
298	72	85	181
299	81	88	190
300	84	89	184
301	81	87	168
302	84	85	163
303	84	85	169
304	81	87	172
305	80	87	172
306	76	89	182
307	66	92	178
308	56	93	178
309	54	91	159
310	54	92	148
311	57	93	111
312	59	90	122
313	61	88	156
314	70	91	173
315	77	91	169
316	81	90	169
317	82	88	168
318	84	86	160
319	87	82	96
320	87	83	96
321	85	85	150
322	77	84	178
323	68	83	159
324	64	73	181
325	65	68	139
326	66	54	79
326	64	64	74	f
327	68	39	156
328	67	29	158
329	72	17	175
330	77	15	165
331	85	13	180
332	99	13	194
333	108	13	199
334	116	14	178
335	116	14	172
336	117	13	188
337	113	15	158
338	112	13	133
339	113	12	124
340	109	17	146
341	107	18	156
342	97	15	175
343	94	15	148
344	95	16	154
345	96	15	158
346	100	16	172
347	105	19	170
348	118	28	169
349	120	37	168
350	123	45	182
351	123	54	194
352	123	61	192
353	123	63	210
354	120	72	187
355	119	79	175
356	119	79	184
357	119	79	176
358	119	79	172
359	119	78	173
360	119	80	181
361	118	81	181
362	111	88	179
363	111	88	155
364	112	88	143
365	113	88	156
366	114	89	137
367	115	82	157
368	113	82	162
369	108	83	171
370	100	85	100
370	89	85	54	f
371	90	87	166
372	83	89	176
373	68	91	179
374	54	91	185
375	51	88	171
376	49	86	151
377	48	85	128
378	48	85	135
379	48	85	135
380	49	87	122
381	47	89	138
382	48	90	150
383	53	90	168
384	51	87	186
385	52	88	172
386	53	88	160
387	55	85	167
388	52	84	170
389	52	83	172
390	52	85	151
391	52	84	155
392	52	84	143
393	51	84	148
394	51	84	143
395	52	84	148
396	52	84	144
397	51	84	141
398	51	84	160
399	51	85	158
400	53	87	170
401	54	88	176
402	54	87	174
403	54	87	174
404	54	88	178
405	53	88	177
406	54	87	166
407	57	84	165
408	67	85	170
409	74	84	181
410	78	87	184
411	82	89	181
412	84	89	161
413	82	88	158
414	83	89	181
415	84	90	181
416	80	89	149
417	79	90	146
418	79	87	165
419	78	86	165
420	63	88	169
421	53	85	190
422	52	85	181
423	52	85	171
424	50	83	148
425	48	83	127
426	47	82	107
427	48	87	177
428	49	87	184
429	49	87	175
430	46	89	158
431	46	91	127
432	46	92	114
433	46	93	125
434	46	93	124
435	50	89	144
436	53	86	164
437	52	86	164
438	59	88	168
439	66	89	175
440	71	86	168
441	69	83	183
442	68	82	183
443	68	79	184
444	67	72	176
445	65	67	125
446	65	45	142
447	68	29	159
448	70	20	190
449	72	16	187
450	73	16	176
451	72	16	165
452	70	17	161
453	70	15	141
454	70	12	126
455	69	16	166
456	66	15	182
457	59	14	156
458	54	15	65
458	44	17	52	f
459	38	17	56
460	17	17	116
461	17	17	128
462	22	14	30
463	23	12	40
464	27	12	33
465	27	12	NP
466	39	12	122
467	41	13	116
468	43	14	120
469	44	15	125
470	44	15	96
471	45	17	54
472	45	17	NP
473	43	15	97
474	41	15	144
475	41	19	121
476	41	19	102
477	36	21	36
478	16	19	115
479	16	19	121
480	19	15	100
481	20	14	72
482	22	13	85
483	23	12	62
484	20	19	38
484	31	24	37	f
485	30	24	39
486	15	30	123
487	13	41	176
488	14	46	177
489	16	56	180
490	19	63	184
491	20	75	176
492	20	85	168
493	22	85	159
494	27	90	137
495	28	90	130
496	37	87	151
