Slice	X	Y	AREA
375	61	55	35	f
376	70	50	84
377	69	49	83
378	69	48	106
379	68	42	133
380	67	32	166
381	64	25	168
382	57	20	111
383	43	17	112
384	34	15	142
385	35	15	126
386	36	16	117
387	37	16	113
388	37	16	122
389	36	16	117
390	36	16	120
391	36	16	128
392	36	17	106
393	34	17	98
394	31	17	64
395	31	17	NP
396	17	26	35
397	17	26	NP
398	17	26	NP
399	17	26	NP
400	15	34	45
401	15	34	NP
402	15	34	NP
403	15	34	NP
404	15	34	NP
405	20	33	30
406	19	34	62
406	19	26	31	f
407	19	35	71
407	18	26	31	f
408	20	35	76
409	18	34	65
409	17	26	34	f
410	18	34	67
410	17	26	36	f
411	17	26	41
412	17	26	NP
413	17	26	NP
414	17	26	NP
415	17	26	NP
416	17	26	NP
417	16	26	47
417	18	32	44	f
418	18	32	44
418	16	25	36	f
419	16	26	43
420	17	25	36
421	16	25	32
422	18	32	44
423	18	33	56
423	16	26	36	f
424	17	34	68
424	16	26	37	f
425	15	35	95
425	17	26	36	f
426	15	37	130
427	14	37	145
428	15	37	146
429	15	38	153
430	18	43	164
431	20	56	165
432	21	68	170
433	23	79	175
434	24	84	157
435	21	87	165
436	19	89	177
437	18	89	184
438	19	89	177
439	18	89	189
440	20	88	177
441	22	85	153
442	25	87	148
443	29	89	85
443	40	87	42	f
444	42	87	79
444	32	89	63	f
445	45	89	151
446	53	89	179
447	64	80	179
448	68	78	174
449	67	78	173
450	66	78	164
451	65	73	173
452	65	72	171
453	66	72	174
454	68	70	188
455	68	71	192
456	68	70	193
457	68	70	195
458	67	71	179
459	66	71	163
460	66	71	163
461	67	70	170
462	67	70	183
463	67	70	177
464	67	72	152
465	66	72	159
466	66	72	156
467	67	72	155
468	66	72	161
469	67	71	148
470	65	67	129
471	66	64	60
471	62	53	43	f
472	61	49	85
472	66	48	33	f
473	63	37	139
474	61	25	152
475	61	24	162
476	60	23	153
477	61	24	158
478	60	23	156
479	54	18	70
479	43	17	44	f
480	41	19	119
481	37	19	137
