Slice	X	Y	AREA
0	0	0	NP
1	66	76	173
2	69	71	142
3	67	70	156
4	68	70	145
5	69	70	136
6	69	70	143
7	68	70	132
8	68	68	97
9	67	56	30
9	68	63	30	f
10	62	50	70
10	68	56	45	f
11	62	50	42
11	69	57	38	f
12	64	50	124
13	63	42	142
14	65	33	167
15	68	26	153
16	73	22	200
17	73	22	197
18	73	23	181
19	72	23	189
20	73	22	198
21	74	20	213
22	72	23	174
23	69	22	164
24	67	20	145
25	63	17	182
26	60	16	184
27	61	16	155
28	64	17	139
29	64	17	147
30	60	17	158
31	54	17	165
32	52	18	170
33	50	18	156
34	46	20	147
35	40	21	67
35	27	18	49	f
36	30	17	134
37	29	16	133
38	28	17	102
39	28	17	NP
40	24	19	32
41	24	19	33
42	24	19	33
43	24	19	33
44	24	19	36
45	24	19	40
46	19	33	36
47	18	34	67
48	16	35	86
49	15	36	116
50	16	36	109
51	16	37	121
52	15	38	161
53	15	36	125
54	16	35	112
55	15	35	115
56	16	34	101
57	14	30	85
58	17	32	58
58	12	25	49	f
59	17	32	59
59	12	25	47	f
60	17	32	52
61	17	36	97
62	18	39	154
63	17	45	155
64	19	55	155
65	21	64	161
66	22	73	157
67	21	74	160
68	23	81	167
69	29	88	162
70	28	88	125
71	28	88	126
72	32	88	154
73	34	89	119
74	33	89	119
75	33	89	118
76	35	88	136
77	38	88	133
78	40	88	143
79	46	87	167
80	55	85	168
81	66	79	164
82	66	79	170
83	69	75	176
84	70	73	174
85	68	72	171
86	68	72	159
87	69	72	150
88	68	72	162
89	67	71	182
90	68	72	164
91	69	72	157
92	70	71	166
93	70	71	169
94	69	70	148
95	69	66	99
95	68	56	41	f
96	68	54	64
96	69	64	51	f
97	67	51	85
98	68	42	131
99	69	34	157
100	71	30	177
101	72	27	167
102	72	26	171
103	72	26	164
104	73	25	157
105	77	22	175
106	82	20	169
107	88	21	167
108	89	21	169
109	94	21	173
110	103	21	190
111	115	22	175
112	115	24	177
113	114	23	179
114	114	23	181
115	115	23	176
116	115	24	170
117	116	27	188
118	117	29	168
119	118	29	159
120	118	32	142
121	118	33	135
122	120	39	159
123	122	47	168
124	123	53	173
125	120	58	164
126	119	67	169
127	116	73	174
128	116	73	178
129	116	74	160
130	119	76	178
131	121	84	178
132	121	85	172
133	120	84	167
134	120	84	170
135	120	84	167
136	119	85	179
137	116	86	177
138	109	89	172
139	103	89	143
140	99	87	150
141	98	87	150
142	98	87	138
143	102	88	117
144	101	89	114
145	101	88	115
146	102	87	109
147	102	87	109
148	102	87	109
149	102	88	106
150	102	88	106
151	102	88	112
152	102	88	111
153	102	88	108
154	102	88	110
155	102	88	110
156	102	88	113
157	102	88	116
158	102	88	114
159	102	88	116
160	102	88	114
161	102	88	115
162	102	88	113
163	102	88	113
164	102	88	115
165	102	88	115
166	102	88	115
167	102	88	114
168	102	88	115
169	102	88	115
170	102	88	114
171	102	88	115
172	102	88	114
173	102	88	112
174	102	88	107
175	102	88	107
176	102	88	108
177	102	88	109
178	102	88	108
179	101	88	114
180	99	89	138
181	96	89	141
182	97	89	119
183	97	88	118
184	97	89	129
185	98	88	117
186	99	88	109
187	99	88	115
188	100	89	132
189	100	89	126
190	101	89	155
191	101	89	143
192	101	87	142
193	101	87	146
194	104	87	150
195	104	87	150
196	105	86	160
197	105	86	156
198	105	86	160
199	104	86	156
200	104	86	151
201	104	86	147
202	105	84	165
203	106	84	162
204	106	84	174
205	107	84	184
206	105	87	154
207	103	86	151
208	101	87	126
209	101	87	118
210	100	89	123
211	99	89	115
212	100	90	117
213	99	90	122
214	99	90	120
215	99	90	126
216	99	91	126
217	97	90	146
218	97	90	141
219	96	91	152
220	91	90	147
221	84	89	143
222	68	91	157
223	63	88	165
224	63	88	174
225	63	87	146
226	63	82	154
227	64	74	161
228	64	73	162
229	65	69	137
230	65	67	115
231	70	55	69
231	67	64	69	f
232	70	53	110
233	69	50	151
234	67	42	139
235	68	32	167
236	67	29	152
237	65	26	175
238	63	24	162
239	63	24	162
240	59	20	170
241	60	19	169
242	61	20	158
243	61	19	159
244	62	22	138
245	62	22	138
246	62	22	144
247	62	23	139
248	62	22	140
249	62	22	133
250	61	19	147
251	61	18	151
252	64	17	166
253	68	15	164
254	73	13	171
255	77	14	168
256	78	14	156
257	78	14	157
258	78	14	157
259	78	14	159
260	78	14	165
261	78	14	163
262	78	14	161
263	79	14	169
264	79	14	171
265	79	13	179
266	79	14	184
267	81	14	187
268	88	17	178
269	96	20	182
270	103	19	175
271	107	19	179
272	107	18	187
273	110	17	189
274	114	17	196
275	114	16	178
276	114	15	196
277	115	15	190
278	114	15	192
279	115	15	198
280	114	15	183
281	113	16	162
282	112	16	169
283	111	18	157
284	114	21	151
285	118	27	141
286	118	33	149
287	119	38	152
288	121	40	148
289	121	41	157
290	121	42	151
291	120	44	163
292	118	50	177
293	115	56	169
294	114	66	178
295	111	82	190
296	105	88	174
297	105	87	169
298	103	87	151
299	99	88	132
300	98	88	141
301	94	86	150
302	94	86	144
303	94	86	136
304	97	89	88
305	98	89	86
306	99	88	112
307	99	87	118
308	99	87	117
309	99	87	123
310	99	87	120
311	99	88	114
312	97	89	128
313	94	90	140
314	85	90	137
315	78	90	166
316	66	87	175
317	59	85	174
318	55	85	176
319	55	86	163
320	51	87	170
321	50	87	153
322	51	87	144
323	51	87	142
324	51	86	149
325	51	85	157
326	51	85	156
327	52	86	145
328	55	87	158
329	56	86	149
330	57	85	148
331	58	84	155
332	60	81	160
333	67	74	175
334	69	71	159
335	69	70	148
336	70	68	125
337	70	68	121
338	70	68	118
339	70	67	114
340	70	68	124
341	70	67	121
342	70	67	110
343	70	66	99
344	69	66	122
345	69	66	123
346	70	66	106
347	71	66	107
348	70	66	112
349	71	66	109
350	70	66	104
351	70	65	83
351	69	55	58	f
352	69	52	106
353	71	47	157
354	73	38	157
355	72	29	164
356	75	26	162
357	75	25	159
358	75	25	165
359	75	25	155
360	75	24	177
361	72	26	168
362	67	20	174
363	61	17	172
364	55	14	152
365	52	15	162
366	46	17	149
367	42	19	116
368	37	19	44
369	37	19	NP
370	37	19	NP
371	37	19	NP
372	37	19	45
373	37	19	45
374	37	19	42
375	37	18	35
376	37	18	NP
377	37	18	NP
378	13	25	46
379	13	26	45
380	14	32	33
381	15	33	57
382	16	36	99
383	16	42	153
384	19	54	167
385	21	68	159
386	21	71	144
387	21	71	142
388	21	72	149
389	21	74	147
390	22	79	164
391	23	87	168
392	24	87	166
393	23	87	165
394	24	87	147
395	28	90	116
396	35	90	148
397	37	91	125
398	42	90	69
398	33	91	50	f
399	43	88	102
400	43	86	134
401	42	87	124
402	42	87	117
