Slice	X	Y	AREA
0	0	0	NP
1	66	74	142
2	72	82	172
3	81	87	169
4	81	86	149
5	83	85	164
6	82	85	155
7	78	85	156
8	75	84	109
9	76	84	108
10	74	87	144
11	73	87	143
12	69	74	158
13	66	68	137
14	66	64	54
14	67	55	37	f
15	66	64	63
15	67	54	38	f
16	67	54	44
16	68	44	34	f
17	69	46	103
18	68	45	122
19	66	40	132
20	66	37	111
21	67	39	112
22	68	37	145
23	69	31	161
24	69	31	162
25	69	29	157
26	65	27	144
27	64	27	146
28	69	28	149
29	72	24	163
30	76	21	163
31	77	21	152
32	75	21	148
33	80	19	171
34	84	18	175
35	86	19	156
36	90	16	160
37	94	14	99
38	98	12	50
39	99	12	51
40	114	22	120
41	113	22	111
42	116	16	143
43	116	17	138
44	116	17	131
45	112	20	62
46	111	22	106
47	115	28	143
48	114	24	88
48	117	34	56	f
49	119	38	152
50	122	52	175
51	122	67	168
52	122	79	175
53	119	81	165
54	110	87	165
55	106	86	160
56	103	86	121
57	101	86	90
58	86	84	132
59	82	86	156
60	73	89	167
61	64	91	167
62	65	91	153
63	63	91	160
64	58	89	177
65	56	90	165
66	54	91	178
67	53	91	178
68	59	89	149
69	59	86	163
70	63	77	160
71	65	73	154
72	65	72	156
73	66	69	141
74	67	68	117
75	69	64	57
75	68	56	31	f
76	66	49	77
76	62	51	43	f
77	64	38	143
78	64	28	150
79	60	20	165
80	57	20	165
81	47	19	164
82	33	20	167
83	24	22	159
84	25	21	141
85	26	20	129
86	27	21	122
87	25	21	145
88	25	22	127
89	22	23	104
89	20	33	30	f
90	18	37	125
91	17	45	156
92	15	65	171
93	19	75	172
94	19	75	163
95	19	75	158
96	18	74	164
97	19	76	163
98	24	87	163
99	27	89	115
100	27	89	102
101	26	88	83
101	40	88	32	f
102	28	89	87
103	30	89	65
103	41	86	58	f
104	30	90	67
104	40	86	55	f
105	29	90	77
105	39	86	31	f
106	28	89	64
106	40	89	33	f
107	42	88	78
107	32	89	39	f
108	41	88	71
109	41	87	85
110	41	87	68
111	42	89	55
112	46	89	153
113	56	87	165
114	61	83	169
115	67	77	166
116	69	72	162
117	68	74	143
118	67	71	165
119	69	72	142
120	69	72	156
121	69	70	139
122	69	70	143
123	69	70	143
124	68	67	122
125	69	67	110
126	69	67	110
127	68	52	90
128	66	42	131
129	62	26	148
130	59	22	157
131	58	22	150
132	60	21	142
133	59	20	149
134	53	18	164
135	46	15	167
136	42	16	153
137	31	15	153
138	21	17	172
139	19	17	160
140	20	16	153
141	19	16	152
142	21	17	137
143	21	20	148
144	18	23	97
144	16	34	42	f
145	18	23	106
146	18	24	92
146	19	34	60	f
147	18	28	147
148	15	45	162
149	14	55	167
150	17	66	171
151	24	82	151
152	27	84	116
153	28	85	108
154	27	85	84
154	40	87	32	f
155	27	86	69
156	27	86	71
157	28	86	89
158	31	87	58
158	41	89	53	f
159	42	88	73
159	31	87	34	f
160	42	86	68
161	40	87	39
162	41	87	57
163	44	87	117
164	55	84	180
165	67	81	146
166	73	82	186
167	80	84	183
168	83	85	173
169	83	86	171
170	83	86	160
171	84	88	180
172	83	88	180
173	81	86	147
174	83	84	167
175	80	86	154
176	77	87	150
177	72	84	165
178	67	74	161
179	67	69	142
180	67	54	56
181	65	41	136
182	65	32	134
183	62	25	145
184	57	19	156
185	53	18	154
186	45	19	147
187	24	23	161
188	19	25	141
189	22	23	118
190	23	22	100
191	24	22	106
192	25	22	97
193	24	22	99
194	24	21	130
195	24	20	137
196	22	20	145
197	18	21	148
198	17	21	166
199	18	19	166
200	17	17	164
201	20	20	155
202	27	17	160
203	37	14	179
204	43	14	158
205	43	15	158
206	43	15	160
207	42	16	174
208	44	16	170
209	45	19	136
210	43	19	146
211	41	16	157
212	36	20	157
213	23	23	159
214	18	24	136
215	21	22	115
216	21	22	100
217	21	23	83
218	20	21	122
219	20	20	144
220	24	20	151
221	31	20	157
222	39	16	163
223	36	18	136
224	35	18	129
225	33	19	120
226	32	20	123
227	32	21	129
228	32	20	122
229	32	21	121
230	32	21	120
231	32	21	120
232	32	21	123
233	32	20	121
234	32	21	122
235	32	20	119
236	32	20	125
237	32	20	127
