Slice	X	Y	AREA
0	0	0	NP
1	51	92	148
2	48	89	137
3	47	88	148
4	48	87	149
5	50	86	149
6	52	85	148
7	53	84	157
8	58	82	175
9	63	81	164
10	67	81	155
11	68	81	152
12	69	82	153
13	69	81	152
14	74	83	171
15	77	86	179
16	78	87	190
17	78	87	193
18	77	86	155
19	75	87	170
20	73	87	146
21	73	87	166
22	72	86	146
23	70	86	175
24	65	90	158
25	61	92	146
26	60	92	146
27	57	91	169
28	52	87	154
29	52	87	148
30	53	87	134
31	55	86	148
32	56	85	161
33	58	84	175
34	65	75	164
35	67	71	160
36	69	68	110
37	68	68	123
38	69	67	102
38	70	56	37	f
39	68	53	81
39	69	63	30	f
40	68	50	108
41	66	43	105
42	66	43	108
43	68	39	130
44	71	30	167
45	71	27	171
46	73	25	165
47	74	24	165
48	74	24	156
49	72	20	178
50	69	18	175
51	64	17	174
52	62	16	164
53	62	16	165
54	59	15	142
55	58	15	132
56	57	16	118
57	57	16	119
58	57	16	119
59	57	16	126
60	56	16	105
61	54	17	131
62	50	17	165
63	43	16	158
64	37	14	180
65	35	15	183
66	31	17	173
67	28	19	176
68	23	22	162
69	23	22	156
70	23	21	146
71	24	21	138
72	23	23	163
73	23	23	165
74	24	21	133
75	24	21	135
76	21	25	145
77	21	24	82
77	18	34	47	f
78	18	35	68
78	21	25	59	f
79	17	36	96
79	21	26	47	f
80	16	37	104
80	21	26	32	f
81	16	39	159
82	15	44	155
83	16	50	156
84	17	55	153
85	20	63	149
86	20	64	136
87	21	65	156
88	20	68	173
89	17	76	171
90	14	83	155
91	15	83	158
92	16	85	165
93	18	86	159
94	25	90	138
95	26	90	133
96	29	90	72
96	42	91	58	f
97	42	89	60
97	30	91	48	f
98	44	88	116
99	46	86	158
100	54	85	175
101	59	83	164
102	64	77	176
103	66	75	166
104	64	73	178
105	65	73	176
106	65	73	178
107	66	76	172
108	65	73	190
109	67	75	152
110	67	76	156
111	68	76	170
112	68	76	170
113	68	76	170
114	68	77	158
115	67	78	164
116	68	79	152
117	69	79	146
118	69	79	151
119	69	79	142
120	68	79	147
121	68	77	161
122	67	72	166
123	68	69	124
124	68	68	112
125	69	68	105
126	68	54	66
126	67	64	55	f
127	68	45	142
128	73	26	170
129	74	20	135
130	78	20	152
131	89	19	101
131	78	18	35	f
132	92	17	157
133	95	14	157
134	97	14	170
135	96	14	161
136	95	14	155
137	94	15	147
138	94	17	140
139	97	17	132
140	103	17	69
141	103	17	NP
142	103	19	61
143	103	18	53
144	103	18	54
145	103	18	NP
146	120	33	57
147	119	38	125
148	121	42	165
149	120	50	167
150	118	59	170
151	116	64	165
152	116	72	176
153	116	77	175
154	117	79	189
155	118	79	186
156	116	79	169
157	116	79	171
158	116	78	167
159	114	78	185
160	106	86	174
161	103	87	126
162	96	89	151
163	87	91	107
164	87	90	117
165	85	91	131
166	84	90	142
167	78	87	163
168	69	83	166
169	68	82	168
170	70	82	166
171	72	82	171
172	71	82	170
173	71	82	170
174	71	82	166
175	70	78	169
176	69	71	143
177	69	65	71
177	69	55	55	f
178	69	48	141
179	70	42	135
180	69	31	151
181	66	25	159
182	64	23	153
183	64	24	154
184	64	24	154
185	64	24	158
186	64	22	154
187	61	18	148
188	60	18	148
189	59	17	162
190	60	17	155
191	60	18	154
192	60	18	153
193	62	18	153
194	70	14	146
195	72	13	128
196	72	13	125
197	79	15	152
198	86	20	79
198	77	14	50	f
199	80	16	112
200	81	16	130
201	88	17	76
201	77	14	53	f
202	88	16	84
202	77	15	47	f
203	86	16	61
203	77	15	56	f
204	91	15	154
205	95	13	174
206	113	12	176
207	115	13	157
208	114	13	151
209	112	13	149
210	109	13	145
211	108	13	143
212	108	13	138
213	108	13	120
214	108	14	110
215	108	14	110
216	109	14	115
217	108	14	124
218	110	14	115
219	110	15	87
220	111	15	85
221	109	14	110
222	110	14	77
223	118	34	32
224	118	35	79
225	115	41	165
226	115	46	169
227	115	46	129
228	116	44	126
229	116	45	150
230	116	51	174
231	119	58	176
232	119	66	181
233	117	78	156
234	116	81	150
235	116	81	145
236	116	80	153
237	114	81	179
238	103	86	127
239	102	86	106
240	99	87	129
241	101	87	99
242	99	87	65
242	89	90	65	f
243	100	87	65
243	89	91	63	f
244	89	91	62
244	100	87	58	f
245	89	92	70
245	100	87	56	f
246	99	87	66
246	90	91	62	f
247	88	92	77
247	99	87	64	f
248	89	92	77
248	99	87	63	f
249	89	92	76
249	99	87	64	f
250	99	87	67
250	88	90	66	f
251	85	87	139
252	76	86	154
253	70	84	161
254	71	83	148
255	71	82	161
256	70	74	179
257	70	73	174
258	70	73	167
259	70	73	179
260	69	73	180
261	69	77	158
262	67	80	159
263	61	83	170
264	57	86	171
265	57	86	174
266	57	86	162
267	52	86	173
268	51	84	167
269	51	85	169
270	51	85	171
271	53	86	138
272	54	87	137
273	56	87	133
274	58	85	165
275	62	80	150
276	66	67	94
277	69	55	60
277	69	64	48	f
278	70	46	120
279	71	41	118
280	71	40	124
281	70	43	99
282	69	38	133
283	68	36	137
284	66	29	150
285	64	26	152
286	62	24	149
287	61	23	144
288	62	24	139
289	61	23	147
290	53	19	138
291	41	16	129
292	38	17	167
293	30	18	172
294	24	21	177
295	21	21	177
296	21	21	173
297	21	21	162
298	20	24	160
299	20	24	167
300	21	24	165
301	17	30	138
302	17	33	139
303	17	43	141
304	17	48	141
305	14	59	178
306	15	60	159
307	15	59	147
308	16	57	146
309	17	58	152
310	20	65	167
311	22	76	164
312	24	84	148
313	28	87	108
314	28	88	96
315	28	89	99
315	40	92	30	f
316	27	89	91
316	40	91	32	f
317	28	89	85
317	40	88	30	f
318	41	87	46
319	42	85	79
320	42	85	83
321	43	86	83
322	43	85	88
323	43	85	88
324	40	87	40
325	32	91	30
326	39	89	32
327	32	87	63
328	29	87	116
329	25	83	133
330	22	84	160
331	18	85	158
332	17	88	169
333	17	89	165
334	17	88	176
335	19	87	159
336	19	87	161
337	19	87	163
338	19	85	139
339	19	86	140
340	19	86	150
341	19	87	148
342	19	86	143
343	18	87	171
344	17	88	176
345	18	87	159
346	18	87	168
347	17	88	180
348	18	88	169
349	19	86	136
350	19	84	144
351	15	80	146
352	16	75	154
353	15	67	152
354	13	59	162
355	13	44	174
356	13	45	163
357	13	44	163
358	13	45	173
359	13	45	180
360	13	44	178
361	14	45	168
362	17	43	181
363	17	43	169
364	17	43	169
365	17	44	163
366	17	44	157
367	15	46	155
368	15	46	167
369	17	43	157
370	17	43	169
371	17	43	161
372	17	43	157
373	16	44	185
374	16	44	184
375	14	43	177
376	14	44	172
377	14	46	133
378	16	46	153
379	17	46	153
380	17	46	148
381	20	51	161
382	21	56	154
383	22	63	174
384	22	75	150
385	21	76	148
386	21	75	156
