Slice	X	Y	AREA
0	0	0	NP
1	87	89	156
2	85	89	153
3	77	83	171
4	71	81	171
5	71	79	162
6	69	76	168
7	67	71	156
8	67	69	142
9	67	69	141
10	66	68	138
11	66	67	98
11	68	56	44	f
12	70	54	83
12	67	64	74	f
13	69	53	93
13	68	64	67	f
14	67	49	165
15	67	41	132
16	66	40	160
17	67	45	134
18	67	38	155
19	70	34	188
20	69	34	183
21	67	34	174
22	66	33	180
23	65	32	189
24	67	36	162
25	67	37	154
26	69	34	185
27	70	33	190
28	70	31	183
29	69	31	177
30	71	29	180
31	72	28	186
32	72	27	183
33	71	28	186
34	70	29	186
35	67	28	199
36	66	27	188
37	66	27	191
38	67	26	190
39	68	32	179
40	67	32	178
41	65	30	196
42	67	32	162
43	71	29	181
44	73	25	177
45	73	26	174
46	76	25	181
47	76	25	185
48	77	23	172
49	77	24	169
50	80	23	163
51	78	22	175
52	79	21	186
53	78	23	172
54	81	23	178
55	77	23	166
56	77	22	180
57	74	24	136
58	74	24	140
59	74	24	138
60	77	22	171
61	77	20	163
62	82	19	174
63	85	20	178
64	82	19	178
65	79	19	167
66	77	21	130
67	74	20	165
68	73	20	173
69	72	20	173
70	69	19	183
71	70	19	172
72	71	20	180
73	74	23	145
74	76	23	154
75	81	21	176
76	84	20	158
77	91	17	161
78	86	18	152
79	84	19	161
80	88	21	156
81	93	22	155
82	101	22	174
83	101	22	183
84	103	23	190
85	104	23	197
86	104	23	194
87	102	22	186
88	96	22	161
89	97	22	177
90	103	22	193
91	100	21	179
92	98	19	178
93	97	19	175
94	96	18	169
95	97	21	180
96	103	22	178
97	107	23	182
98	109	24	193
99	107	23	192
100	108	24	197
101	108	23	190
102	110	23	190
103	109	23	189
104	106	21	187
105	107	19	202
106	108	19	190
107	111	18	201
108	113	17	206
109	111	18	190
110	104	20	175
111	104	21	163
112	106	23	173
113	115	28	155
114	118	34	170
115	118	32	166
116	117	33	159
117	118	37	159
118	118	43	182
119	121	60	177
120	121	69	186
121	120	75	189
122	117	82	188
123	118	84	179
124	119	85	189
125	120	86	190
126	117	83	178
127	111	85	187
128	105	87	184
129	102	87	171
130	98	86	169
131	94	88	176
132	83	89	158
133	76	89	168
134	68	85	182
135	68	85	179
136	69	83	178
137	69	81	184
138	67	75	166
139	67	73	168
140	68	72	168
141	67	72	175
142	67	71	173
143	67	72	162
144	67	72	164
145	68	69	144
146	68	66	88
146	66	56	42	f
147	67	64	60
147	66	55	56	f
148	66	52	88
148	66	63	35	f
149	67	48	148
150	69	43	161
151	70	39	172
152	70	33	177
153	68	33	168
154	67	31	173
155	66	29	188
156	63	25	178
157	55	18	175
158	54	17	182
159	53	16	171
160	54	17	158
161	52	19	145
162	49	19	160
163	48	18	118
164	44	19	77
165	31	17	120
166	27	15	141
167	27	15	151
168	29	15	145
169	30	16	138
170	26	19	123
171	26	18	81
172	17	29	107
173	17	30	115
174	18	34	62
174	18	24	50	f
175	19	35	82
175	17	25	37	f
176	19	37	100
177	18	40	161
178	18	50	165
179	19	57	174
180	21	74	164
181	22	80	173
182	24	82	173
183	30	87	150
184	32	87	161
185	36	89	159
186	37	88	149
187	37	88	144
188	37	88	142
189	37	88	142
190	38	87	156
191	37	87	151
192	38	87	159
193	38	87	153
194	37	88	141
195	38	89	150
196	40	89	158
197	44	90	168
198	46	91	156
199	51	88	176
200	57	86	175
201	60	83	189
202	65	77	192
203	66	72	184
204	66	74	173
205	66	73	160
206	66	73	160
207	66	73	160
208	66	73	159
209	66	73	163
210	66	69	124
211	67	68	127
212	66	68	121
213	66	68	122
214	66	68	131
215	67	67	150
216	69	68	159
217	68	69	145
218	68	69	137
219	69	69	135
220	69	69	137
221	69	68	141
222	67	70	140
223	68	73	147
224	70	75	156
225	72	78	167
226	80	86	177
227	83	89	173
228	84	88	155
229	84	88	165
230	84	88	153
231	85	89	165
232	85	89	174
233	85	89	175
234	85	88	158
235	84	88	148
236	83	87	144
237	84	87	169
238	84	87	156
239	84	88	156
240	83	88	149
241	82	88	147
242	83	89	153
243	85	88	148
244	86	89	166
245	85	89	156
246	83	88	156
247	81	89	156
248	76	90	173
249	74	89	163
250	69	88	148
251	65	88	152
252	57	89	169
253	51	88	162
254	50	90	176
255	50	90	176
256	51	89	161
257	51	90	164
258	50	90	189
259	50	90	165
260	51	89	157
261	55	90	147
262	52	88	172
263	48	87	167
264	48	87	164
265	48	87	168
266	48	87	157
267	49	88	148
268	50	88	156
269	53	85	163
270	59	83	165
271	61	82	159
272	64	76	151
273	68	68	141
274	68	69	142
275	68	68	142
276	68	69	137
277	69	67	119
278	68	67	118
279	68	67	122
280	68	67	122
281	69	67	121
282	68	67	152
283	68	67	146
284	68	67	140
285	68	67	139
286	68	67	152
287	69	67	131
288	69	68	129
289	68	67	117
290	68	67	117
291	68	67	119
292	68	67	116
293	69	67	136
294	69	67	137
295	68	67	136
296	69	67	154
297	68	67	126
298	68	68	127
299	68	68	124
300	68	68	124
301	68	68	124
302	68	67	119
303	68	68	122
304	68	67	122
305	68	67	139
306	68	68	140
307	68	68	140
308	66	70	151
309	64	73	155
310	63	76	151
311	64	80	154
312	65	83	144
313	66	84	154
314	69	85	162
315	72	85	157
316	83	85	163
317	84	85	159
318	84	85	164
319	83	85	164
320	84	85	166
321	84	85	166
322	84	85	168
323	84	86	156
324	84	86	154
325	84	85	167
326	84	85	167
327	81	87	149
328	80	86	143
329	81	86	142
330	81	85	153
331	78	87	160
332	75	84	157
333	72	82	159
334	69	82	162
335	65	82	155
336	54	84	174
337	53	84	166
338	51	85	155
339	49	88	176
340	49	88	178
341	49	87	165
342	49	87	166
343	49	90	157
344	54	92	160
345	59	92	161
346	62	91	155
347	63	91	143
348	63	91	143
349	64	91	155
350	73	91	173
351	76	92	171
352	78	92	156
353	77	92	143
354	74	92	135
355	74	91	138
356	74	92	157
357	75	91	144
358	75	91	150
359	80	88	170
360	83	88	156
361	84	87	168
362	82	89	148
363	79	86	163
364	75	82	170
365	74	82	158
366	71	80	167
367	71	78	159
368	72	80	142
369	72	80	146
370	72	83	162
371	73	83	157
372	71	83	159
373	67	86	159
374	68	86	163
375	69	86	147
376	68	85	144
377	60	85	157
378	60	87	127
379	60	85	134
380	61	84	144
381	61	82	136
382	62	80	162
383	64	72	149
384	65	72	145
385	65	72	146
386	65	70	160
387	65	70	146
388	65	67	113
388	66	57	31	f
389	68	54	87
389	67	63	49	f
390	68	44	163
391	67	33	164
392	66	29	168
393	68	21	182
394	72	19	200
395	72	18	196
396	71	20	176
397	71	21	175
398	71	22	171
399	72	21	175
400	73	19	187
401	73	19	182
402	73	20	171
403	72	23	160
404	69	21	173
405	65	21	170
406	62	19	174
407	59	18	149
408	57	17	146
409	55	16	173
410	50	14	173
411	40	13	166
412	32	13	181
413	26	13	187
414	27	15	187
415	21	20	149
416	20	21	111
417	19	22	99
418	18	25	136
419	16	38	155
420	15	47	160
421	16	56	165
422	20	74	163
423	20	76	158
424	22	81	161
425	23	86	153
426	23	86	155
427	23	85	166
428	26	88	152
429	25	88	148
430	24	87	136
431	25	86	143
432	32	86	154
433	35	87	138
434	35	87	137
435	40	86	140
436	48	86	157
437	53	86	141
438	54	84	161
439	57	83	174
440	64	78	165
441	67	72	171
442	68	72	154
443	67	72	157
444	68	71	164
445	69	71	175
446	68	71	163
447	67	72	156
448	67	72	155
449	68	71	152
450	68	71	156
451	68	71	155
452	68	71	156
453	68	71	154
454	68	71	156
455	68	71	154
456	68	71	155
457	68	71	149
458	68	71	157
459	68	71	157
460	68	70	158
461	68	70	164
462	68	70	159
463	68	70	165
464	68	70	164
465	68	71	154
466	68	70	158
467	68	71	160
468	68	70	161
469	68	70	154
470	68	74	151
471	68	75	150
472	69	76	149
473	69	78	153
474	69	79	181
475	69	80	182
476	70	79	178
477	70	80	177
478	71	80	179
479	71	81	185
480	71	81	163
481	71	81	192
482	72	81	177
483	71	81	172
484	70	81	183
485	70	81	179
486	70	81	179
487	71	84	170
488	70	84	164
489	66	86	167
490	64	89	167
491	55	91	160
492	51	91	161
493	50	89	142
494	51	87	142
495	52	88	147
496	54	87	160
497	56	87	142
498	57	85	151
499	61	82	153
500	63	82	174
501	65	81	154
502	67	80	166
503	67	80	165
504	67	80	165
505	66	80	157
506	68	81	159
507	68	81	167
508	70	82	169
509	74	83	162
510	76	84	149
511	76	84	156
512	78	85	166
513	78	85	170
514	78	86	161
515	79	86	164
516	83	87	178
517	83	88	172
518	83	88	164
519	83	88	163
520	83	87	167
521	82	87	161
522	83	87	162
523	84	87	168
524	84	87	161
525	83	87	156
526	83	88	163
527	83	88	163
528	83	88	165
529	89	88	150
530	88	88	154
531	87	88	151
532	86	89	156
533	85	91	153
534	84	90	157
535	82	90	139
536	79	91	150
537	72	92	154
538	66	93	157
539	66	93	164
540	61	93	162
541	57	92	164
542	52	93	172
543	52	92	170
544	52	92	170
545	49	91	165
546	47	89	149
547	48	88	147
548	50	86	145
549	52	84	149
550	54	84	160
551	54	83	162
552	62	81	157
553	62	81	146
554	63	78	154
555	67	75	144
556	67	73	151
557	68	73	145
558	68	74	141
559	68	74	150
560	68	75	153
561	68	76	156
562	70	79	176
563	69	79	178
564	69	79	184
565	68	79	166
566	68	78	162
567	68	79	165
568	68	79	164
569	67	78	151
570	67	77	139
571	67	76	147
572	68	72	146
573	68	71	146
574	68	71	145
575	68	71	150
576	68	70	142
577	68	69	139
578	68	67	121
579	67	60	132
580	67	52	123
581	68	43	143
582	68	36	150
583	67	33	151
584	66	29	134
585	61	24	158
586	59	21	142
587	59	21	159
588	59	20	156
589	58	18	180
590	60	21	135
591	61	20	163
592	64	18	154
593	69	15	157
594	77	13	168
595	81	14	170
596	84	13	178
597	83	14	171
598	87	16	185
599	95	19	176
600	104	21	182
601	105	21	164
602	105	18	179
603	104	18	170
604	104	19	152
605	104	19	159
606	107	19	182
607	114	18	174
608	108	19	174
609	106	21	173
610	110	23	174
611	112	26	169
612	117	34	165
613	119	46	175
614	116	61	169
615	115	71	162
616	116	72	167
617	120	76	169
618	121	80	165
619	121	85	181
620	121	84	155
621	117	84	174
622	111	85	187
623	103	87	143
624	103	87	140
625	103	87	138
626	101	88	134
627	100	88	139
628	98	88	142
629	98	88	141
630	98	88	146
631	98	88	144
632	98	87	141
633	98	89	156
634	99	88	144
635	99	88	143
636	100	87	130
637	100	88	137
638	100	88	133
639	101	88	131
640	101	87	119
641	100	88	132
642	100	88	134
643	101	87	127
644	100	88	139
645	99	88	134
646	99	87	147
647	99	87	148
648	99	87	141
649	100	87	140
650	99	87	133
651	99	87	141
652	99	87	142
653	99	87	137
654	99	87	140
655	99	87	140
656	99	87	139
657	98	88	144
658	99	87	143
659	99	87	141
660	99	87	142
661	99	87	136
662	99	87	136
663	99	87	147
664	99	87	149
665	98	87	152
666	99	87	145
667	99	87	153
668	99	87	159
669	100	87	134
670	100	88	140
671	100	88	134
672	101	87	128
673	101	88	135
674	101	87	122
675	100	87	123
676	99	87	136
677	99	88	135
678	99	87	132
679	101	87	124
680	100	88	125
681	99	87	144
682	98	87	148
683	98	87	149
684	98	87	151
685	98	87	150
686	99	87	145
687	98	87	140
688	99	87	143
689	99	87	140
690	98	87	145
691	98	87	146
692	98	87	143
693	98	87	142
694	98	87	142
695	98	87	139
696	98	87	152
697	99	87	146
698	99	87	134
699	99	88	134
700	99	88	129
701	100	88	134
702	101	88	147
703	101	88	137
704	101	89	131
705	101	89	133
706	101	89	130
707	102	88	145
708	103	89	163
709	106	90	155
710	110	89	149
711	114	88	182
712	116	87	161
713	117	86	171
714	117	85	178
715	120	80	160
716	120	79	151
717	120	80	142
718	119	79	150
719	119	77	145
720	120	76	165
721	121	71	170
722	122	64	165
723	123	53	180
724	123	46	188
725	121	44	187
726	120	43	157
727	121	43	167
728	122	43	174
729	121	43	161
730	120	44	163
731	121	47	141
732	119	51	151
733	117	59	169
734	116	66	164
735	113	78	166
736	109	84	165
737	104	88	144
738	99	89	128
739	99	89	144
740	98	89	138
741	95	88	143
742	91	89	149
743	80	90	152
744	74	89	155
745	60	87	147
746	61	87	140
747	62	87	137
748	61	86	141
749	61	86	141
750	61	86	144
751	61	86	145
752	61	86	148
753	61	86	149
754	61	86	149
755	61	86	148
756	61	87	136
757	58	88	153
758	52	90	160
759	51	89	154
760	49	89	145
761	48	87	146
762	50	86	153
763	51	85	151
764	51	85	152
765	51	85	156
766	52	85	156
767	52	85	159
768	52	85	146
769	52	85	143
770	52	85	143
771	52	85	142
772	52	85	141
773	52	85	142
774	52	85	151
775	52	85	146
776	52	86	142
777	52	85	145
778	52	85	155
779	50	86	160
780	50	87	147
781	51	87	144
782	53	86	157
783	55	84	162
784	55	84	156
785	55	84	163
786	55	84	157
787	55	84	144
788	55	85	142
789	55	84	145
790	55	84	155
791	55	84	156
792	55	84	156
793	55	84	156
794	55	84	156
795	55	84	155
796	55	84	164
797	56	84	149
798	55	84	145
799	56	84	158
800	56	85	146
801	61	82	167
802	66	77	162
803	69	72	159
804	70	69	133
805	70	67	115
806	70	65	92
806	66	57	33	f
807	69	54	78
807	70	63	56	f
808	68	48	158
809	68	33	169
810	70	28	171
811	73	26	173
812	72	27	162
813	73	24	179
814	73	21	167
815	70	22	161
816	60	17	170
817	60	17	171
818	60	17	165
819	60	17	162
820	60	18	158
821	59	18	134
822	54	17	109
823	43	18	56
824	43	18	NP
825	43	18	NP
826	43	18	NP
827	43	18	NP
828	17	25	73
829	16	25	93
830	16	24	84
831	16	24	95
832	16	26	117
833	16	29	132
834	16	38	146
835	17	46	164
836	17	54	150
837	15	62	165
838	16	74	157
839	20	81	167
840	28	88	129
841	30	89	94
842	34	90	135
843	35	90	124
844	40	89	140
845	42	89	136
846	42	88	148
847	50	88	148
848	53	86	153
849	61	82	165
850	66	76	176
851	68	72	184
852	68	72	185
853	68	71	172
854	68	72	164
855	68	72	176
856	67	72	168
857	66	72	149
858	67	72	155
859	67	72	171
860	68	71	173
861	68	71	170
862	67	71	166
863	67	71	167
864	67	71	166
865	68	71	172
866	67	71	162
867	67	71	173
868	67	71	171
869	67	72	171
870	67	76	159
871	67	78	161
872	72	79	177
873	73	81	181
874	76	81	198
875	83	83	174
876	82	83	160
877	82	82	165
878	83	82	158
879	83	83	161
880	83	83	165
881	81	85	157
882	84	88	162
883	84	88	161
884	84	88	162
885	84	88	157
886	84	88	160
887	84	88	161
888	84	88	162
889	83	89	168
890	82	91	166
891	78	92	158
892	68	92	164
893	52	92	167
894	51	92	165
895	47	88	155
896	47	87	146
897	47	87	146
898	47	87	143
899	49	87	151
900	49	86	153
901	51	85	153
902	53	84	155
903	57	83	155
904	61	82	145
905	63	81	152
906	63	81	151
907	62	82	145
908	65	81	146
909	66	81	137
910	66	81	138
911	66	81	136
912	66	81	136
913	66	81	138
914	66	81	138
915	65	81	136
916	66	81	139
917	66	81	137
918	66	81	137
919	66	81	138
920	66	81	142
921	65	81	138
922	66	81	143
923	66	81	142
924	66	81	143
925	65	81	151
926	65	81	145
927	66	81	147
928	65	81	144
929	65	81	145
930	66	81	150
931	66	81	146
932	65	81	150
933	65	81	147
934	65	81	146
935	66	81	149
936	65	81	147
937	65	81	147
938	65	81	147
939	65	81	144
940	66	81	144
941	66	81	148
942	66	81	145
943	65	81	137
944	65	81	146
945	65	81	146
946	66	81	147
947	66	81	147
948	66	81	147
949	66	81	146
950	66	81	147
951	66	81	146
952	66	81	148
953	66	81	151
954	66	81	150
955	66	81	151
956	66	81	147
957	65	81	137
958	65	81	151
959	65	81	143
960	65	81	143
961	66	81	142
962	66	81	142
963	65	81	143
964	65	81	143
965	66	81	146
966	66	81	146
967	66	81	149
968	66	81	146
969	66	81	149
970	66	81	152
971	66	81	149
972	66	81	149
973	66	81	152
974	65	81	147
975	66	81	146
976	66	81	146
977	66	81	144
978	66	81	142
979	66	81	143
980	66	81	142
981	66	81	145
982	66	81	145
983	66	81	146
984	66	81	145
985	66	81	146
986	66	81	152
987	66	81	152
988	66	81	151
989	66	81	149
990	66	81	149
991	66	81	149
992	66	81	145
993	66	81	144
994	66	81	143
995	66	81	144
996	66	81	144
997	65	81	143
998	66	81	151
999	65	81	147
1000	65	81	146
1001	65	81	147
1002	65	81	147
1003	65	81	143
1004	66	81	146
1005	66	81	151
1006	66	81	150
1007	66	81	145
1008	66	81	144
1009	66	81	143
1010	66	81	143
1011	66	81	143
1012	66	81	141
1013	66	81	146
1014	66	81	152
1015	66	81	152
1016	66	81	154
1017	66	81	152
1018	66	81	154
1019	66	81	147
1020	65	81	144
1021	65	81	143
1022	65	81	139
1023	65	82	135
1024	65	81	144
1025	67	80	167
1026	67	81	155
1027	66	81	150
1028	66	81	151
1029	67	81	162
1030	67	82	172
1031	67	81	173
1032	67	81	167
1033	68	81	167
1034	67	82	170
1035	67	82	177
1036	67	82	169
1037	67	82	171
1038	67	82	168
1039	67	82	168
1040	66	82	158
1041	66	80	153
1042	65	81	150
1043	65	81	142
1044	65	81	143
1045	65	81	146
1046	66	81	153
1047	66	81	152
1048	66	81	155
1049	66	81	157
1050	66	82	160
1051	67	82	157
1052	66	82	147
1053	65	82	142
1054	66	81	145
1055	65	82	143
1056	65	82	141
1057	66	81	144
1058	66	81	145
1059	66	81	145
1060	66	82	142
1061	66	81	144
1062	66	81	147
1063	66	81	147
1064	66	81	152
1065	66	82	151
1066	66	81	152
1067	66	82	149
1068	66	82	145
1069	66	81	149
1070	66	81	149
1071	66	81	150
1072	66	81	153
1073	66	81	150
1074	66	81	148
1075	66	81	143
1076	66	81	146
1077	66	81	146
1078	66	81	141
1079	66	81	148
1080	66	81	150
1081	66	81	150
1082	66	81	150
1083	66	81	151
1084	66	81	152
1085	66	81	151
1086	66	81	152
1087	66	81	154
1088	66	81	153
1089	66	81	154
1090	66	81	156
1091	66	81	156
1092	66	81	151
1093	66	81	150
1094	66	81	151
1095	66	81	149
1096	66	81	150
1097	66	81	150
1098	66	81	151
1099	66	81	151
1100	66	81	151
1101	66	81	151
1102	66	81	153
1103	66	81	152
1104	66	81	151
1105	66	81	152
1106	66	81	155
1107	66	81	154
1108	66	81	153
1109	66	81	152
1110	66	81	147
1111	66	81	145
1112	66	81	147
1113	66	81	144
1114	66	81	144
1115	66	81	144
1116	66	81	144
1117	66	81	145
1118	66	81	149
1119	66	81	152
1120	66	81	147
1121	66	81	151
1122	66	81	151
1123	66	81	152
1124	66	81	150
1125	66	81	152
1126	66	81	148
1127	66	81	153
1128	66	81	146
1129	66	81	144
1130	66	81	149
1131	66	81	146
1132	66	81	142
1133	66	81	147
1134	66	81	147
1135	67	82	152
1136	67	83	155
1137	68	84	166
1138	74	84	164
1139	80	86	169
1140	84	86	141
1141	85	86	142
1142	85	86	141
1143	85	86	141
1144	85	86	142
1145	86	87	146
1146	88	88	153
1147	89	88	141
1148	89	89	143
1149	89	88	141
1150	89	89	147
1151	89	88	155
1152	89	88	146
1153	89	88	132
1154	89	88	119
1155	88	87	163
1156	88	87	148
1157	87	88	157
1158	87	86	156
1159	87	86	156
1160	83	87	156
1161	80	89	158
1162	72	91	156
1163	62	92	152
1164	54	92	159
1165	45	88	147
1166	46	89	146
1167	46	88	149
1168	46	87	146
